Fecha,I0,N
20/03/23,4,
21/03/23,2,
22/03/23,5,
23/03/23,3,
24/03/23,4,
25/03/23,1,
26/03/23,3,
27/03/23,9,
28/03/23,1,
29/03/23,3,
30/03/23,1,
31/03/23,3,
01/04/23,2,
02/04/23,0,
03/04/23,3,
04/04/23,2,
05/04/23,4,
06/04/23,2,
07/04/23,1,
08/04/23,1,
09/04/23,2,
10/04/23,1,
11/04/23,8,
12/04/23,2,
13/04/23,3,
14/04/23,2,
15/04/23,0,
16/04/23,0,
17/04/23,1,
18/04/23,3,
19/04/23,1,
20/04/23,2,
21/04/23,1,
22/04/23,2,
23/04/23,3,
24/04/23,1,
25/04/23,1,
26/04/23,1,
27/04/23,2,
28/04/23,1,
29/04/23,4,
30/04/23,4,
01/05/23,4,
02/05/23,1,
03/05/23,5,
04/05/23,2,
05/05/23,6,
06/05/23,5,
07/05/23,3,
08/05/23,5,
09/05/23,4,
10/05/23,4,
11/05/23,4,
12/05/23,3,
13/05/23,4,
14/05/23,2,
15/05/23,4,
16/05/23,2,
17/05/23,2,
18/05/23,4,
19/05/23,9,
20/05/23,2,
21/05/23,6,
22/05/23,7,
23/05/23,7,
24/05/23,10,
25/05/23,6,
26/05/23,8,
27/05/23,2,
28/05/23,3,
29/05/23,7,
30/05/23,1,
31/05/23,1,
01/06/23,7,
02/06/23,3,
03/06/23,2,
04/06/23,5,
05/06/23,9,
06/06/23,7,
07/06/23,12,
08/06/23,5,
09/06/23,5,
10/06/23,8,
11/06/23,7,
12/06/23,4,
13/06/23,3,
14/06/23,4,
15/06/23,1,
16/06/23,0,
17/06/23,2,
